StudentID,StudentName,Gender,Attendance,StudyHours,PreviousMarks,FinalMarks,Result
1,Ankit,Male,55.8,3,67.0,52.0,Fail
2,Sakshi,Female,97.0,8,89.0,86.0,Pass
3,Priya,Female,81.4,3,90.0,66.0,Fail
4,Jyoti,Female,66.7,6,83.0,66.0,Fail
5,Rahul,Male,57.0,3,61.0,48.0,Fail
6,Vikram,Male,89.7,3,77.0,70.0,Pass
7,Amit,Male,81.0,5,89.0,73.0,Pass
8,Shweta,Female,76.7,3,67.0,49.0,Fail
9,Megha,Female,94.7,7,80.0,81.0,Pass
10,Preeti,Female,89.4,4,75.0,69.0,Fail
11,Aditya,Male,57.6,2,63.0,47.0,Fail
12,Shweta,Female,65.6,1,75.0,50.0,Fail
13,Kriti,Female,62.4,2,70.0,54.0,Fail
14,Rohit,Male,87.2,1,73.0,62.0,Fail
15,Aditya,Male,51.7,1,60.0,40.0,Fail
16,Ankit,Male,78.5,5,73.0,67.0,Fail
17,Aman,Male,88.1,6,86.0,73.0,Pass
18,Simran,Female,93.8,6,75.0,71.0,Pass
19,Sunil,Male,67.1,2,88.0,56.0,Fail
20,Vikram,Male,91.1,5,73.0,73.0,Pass
21,Sakshi,Female,55.5,3,75.0,55.0,Fail
22,Vijay,Male,92.3,3,82.0,71.0,Pass
23,Aman,Male,56.4,5,63.0,56.0,Fail
24,Arjun,Male,69.9,5,59.0,60.0,Fail
25,Sanjay,Male,89.9,5,62.0,65.0,Fail
26,Kriti,Female,57.5,3,86.0,58.0,Fail
27,Aman,Male,61.5,3,67.0,55.0,Fail
28,Ritu,Female,86.1,2,97.0,71.0,Pass
29,Shweta,Female,86.0,4,69.0,69.0,Fail
30,Vikram,Male,82.1,3,75.0,65.0,Fail
31,Sneha,Female,84.7,3,88.0,69.0,Fail
32,Sanjay,Male,77.1,4,95.0,73.0,Pass
33,Rahul,Male,62.6,6,100.0,70.0,Fail
34,Aarti,Female,67.3,4,87.0,60.0,Fail
35,Priya,Female,59.1,2,81.0,52.0,Fail
36,Neha,Female,95.4,6,85.0,76.0,Pass
37,Sunil,Male,79.2,6,87.0,71.0,Pass
38,Gaurav,Male,70.0,5,71.0,61.0,Fail
39,Priya,Female,73.1,4,67.0,57.0,Fail
40,Raj,Male,97.4,5,77.0,74.0,Pass
41,Vikram,Male,57.7,4,73.0,49.0,Fail
42,Arjun,Male,79.3,5,72.0,66.0,Fail
43,Gaurav,Male,75.3,5,84.0,68.0,Fail
44,Jyoti,Female,80.6,5,87.0,68.0,Fail
45,Ankit,Male,50.9,4,76.0,55.0,Fail
46,Ritu,Female,93.6,4,90.0,77.0,Pass
47,Raj,Male,96.6,7,70.0,72.0,Pass
48,Priya,Female,78.3,5,75.0,64.0,Fail
49,Shweta,Female,84.8,8,76.0,74.0,Pass
